,지역,시설구분,기관명,소재지,연락처,홈페이지,위도,경도
185,관악구,공동생활가정,나자로의집,관악구 남부순환로194길 81 2층 나자로의집,02-887-3630,,37.4813813,126.9341703
186,강남구,공동생활가정,논현공동생활가정,강남구 강남대로120길 52 401/402호 논현공동생활가정,02-518-3088,,37.5076596,127.0274997
187,강남구,공동생활가정,논현제2공동생활가정,강남구 논현로113길 38-1 301호 논현제2공동생활가정,02-8129-1290,,37.5077761,127.0301683
188,영등포구,공동생활가정,남부공동생활가정1호,영등포구 디지털로54길 4-17 1층 남부공동생활가정1호,02-847-8173,,37.4901122,126.9014116
189,영등포구,공동생활가정,남부공동생활가정2호,영등포구 영신로17길 16 401호 남부공동생활가정2호,02-845-4134,,37.5134978,126.9066193
190,노원구,공동생활가정,내일을꿈꾸는사람,노원구 동일로237바길 11-8 101호 내일을꿈꾸는사람,02-950-0152,,37.6740844,127.0502234
191,노원구,공동생활가정,내일을꿈꾸는사람들 2호,노원구 동일로237다길 37 풀내음파크빌 201호 내일을꿈꾸는사람들 2호,02-950-0188,,37.6752537,127.0524189
192,노원구,공동생활가정,내일을꿈꾸는사람들 3호,노원구 동일로237다길 37 풀내음파크빌 301호 내일을꿈꾸는사람들 3호,02-950-0188,,37.6752537,127.0524189
193,강북구,공동생활가정,너나울공동생활가정,강북구 한천로144길 27 1층 너나울공동생활가정,02-906-0688,,37.6422464,127.0262126
194,강동구,공동생활가정,너울자리공동생활가정,강동구 동남로 85길 15 3층 너울자리공동생활가정,02-442-8666,,37.5612461,127.1558947
195,구로구,공동생활가정,느티나무그룹홈,"구로구 부일로 871-16, 101동 501호(온수동, 디아이빌2차) 느티나무그룹홈",02-2668-6335,,37.4932322,126.8234643
196,강동구,복지관,한국시각장애인복지관,강동구 구천면로 645 (상일동 126-0),02-440-5200,http://www.hsb.or.kr/,37.5510465,127.1693469
197,강서구,거주(유형별＊중증＊영유아)시설,H2빌,강서구 개화동 330(금낭화로 26가길 130),02-6925-2366,,37.5844651,126.811346
198,서대문구,공동생활가정,다솜장애인공동생활가정,서대문구 증가로4길 53 2층 다솜장애인공동생활가정,02-303-0867,,37.5779284,126.927864
199,노원구,공동생활가정,다운인의집,노원구 노원로1길 21 청솔A 901동 1102호 다운인의집,02-3296-0119,,37.6215734,127.0854893
200,동작구,공동생활가정,다움이네집,동작구 양녕로22마길 90 다움이네집,02-823-2290,,37.4990464,126.9468133
201,양천구,공동생활가정,다은장애인공동생활가정,양천구 목동중앙서로9길 20 한강베스트빌 401호 다은장애인공동생활가정,02-2691-1162,,37.5333366,126.8667547
202,구로구,공동생활가정,늘좋은집 장애인공동생활가정,구로구 고척로52라길 19-7 201호 늘좋은집 장애인공동생활가정,070-7668-2360,,37.5021606,126.8548964
203,서초구,공동생활가정,다니엘의집1호,서초구 염곡안길 19 201호 다니엘의집1호,02-597-9909,,37.4623418,127.0515328
204,서초구,공동생활가정,다니엘의집2호,서초구 염곡안길 19 302호 다니엘의집2호,02-581-5987,,37.4623418,127.0515328
205,서초구,공동생활가정,다니엘의집3호,서초구 서초대로14길 15  B02호(로얄빌리지) 다니엘의집3호,02-525-2569,,37.485109,126.9897999
206,강북구,공동생활가정,다향공동생활가정,강북구 노해로7길 42-5 1층 다향공동생활가정,02-993-2820,,37.6379616,127.0203096
207,강서구,주간보호시설,파랑새교육원,강서구 까치산로 134 (화곡6동 958-12) 화곡빌딩2층,02-2692-2614,http://happylog.naver.com/pelli99.do,37.5492743,126.8514328
208,강남구,공동생활가정,다니엘의집4호,강남구 도산대로4길 18-6 401호(논현동) 다니엘의집4호,070-8715-7627,,37.515195,127.0210281
209,서초구,공동생활가정,다니엘의집5호,서초구 동산로 12길 20 203호(동은빌라) 다니엘의집5호,070-4671-4892,,37.4708295,127.0456637
210,노원구,공동생활가정,다복스위트홈,노원구 상계로5길 22-9 402호 다복스위트홈,02-930-4623,,37.6573311,127.063184
211,강북구,공동생활가정,다사랑공동생활가정,강북구 노해로7길 42-5 2층(수유동) 다사랑공동생활가정,02-991-9968,,37.6379616,127.0203096
212,도봉구,공동생활가정,도봉케인스홈,도봉구 도봉산3길 7-5 성도하이츠빌라 401호 도봉케인스홈,02-3492-5015,,37.6869475,127.0445757
213,도봉구,공동생활가정,동천하우스 7,"도봉구 시루봉로17길 47, 202호 동천도봉3호",070-8839-3999,,37.6691438,127.0322581
214,도봉구,공동생활가정,동천하우스 8,"도봉구 시루봉로17길 47, 502호 동천도봉4호",070-8839-3999,,37.6691438,127.0322581
215,노원구,공동생활가정,동천배움터1호,노원구 동일로237바길 8 301호 동천배움터1호,02-937-6212,,37.6737307,127.0506954
216,노원구,공동생활가정,동천배움터5호,노원구 한글비석로50길 12 3층(상계동) 동천배움터5호,070-8276-9577,,37.664932,127.0669126
217,중구,복지관,서울특별시중구장애인복지관,중구 퇴계로 460 (신당동),02-2235-8630,http://www.jgcrc.or.kr,37.5650845,127.022802
218,송파구,주간보호시설,참사랑,서울특별시 송파구 마천로 89 .,02-430-8003,,37.5069073,127.1304692
219,도봉구,주간보호시설,피어라희망센터,서울특별시 도봉구 도봉로120길 16 창동염광교회 피어라희망센터,02-908-9100,,37.650389,127.0374472
220,강북구,주간보호시설,참사랑너나울,서울특별시 강북구 한천로143길 39 1층,02-908-0688,,37.6404823,127.0231588
221,금천구,주간보호시설,하누리,서울특별시 금천구 시흥대로2길 57 .,02-802-8024,,37.4352855,126.9064327
222,양천구,주간보호시설,하은,서울특별시 양천구 신목로 20 3층,02-2654-0562,,37.5181901,126.8750982
223,강동구,복지관,성분도복지관,경기 광주시 도척면 국사봉로 159-10,031-799-0300,www.bundoreh.com,37.3167174,127.3506713
224,강북구,주간보호시설,참사랑너나울 2호,서울특별시 강북구 한천로143길 39 2층,02-908-0688,,37.6404823,127.0231588
225,서대문구,단기보호시설,시립서대문단기보호센터,서대문구 홍은동 415-94,02-372-9394,,37.5773874,126.9285236
226,강동구,복지관,시립서울장애인종합복지관,강동구 고덕로 201 (고덕동 317-24),02-440-5700,http://www.seoulrehab.or.kr,37.5558563,127.1482802
227,강남구,복지관,청음회관,강남구 봉은사로50길 6 (역삼동 681-50),02-556-4758,www.chungeum.or.kr,37.509373,127.0423853
228,성동구,의료재활시설,성동재활의원,성동구 성수1가1동 656-323,02-2204-9976,,37.5454304,127.0469849
229,노원구,복지관,시립뇌성마비복지관,노원구 덕릉로70가길 96 (상계6.7동 771),02-932-4411,http://www.srccp.or.kr/,37.6424451,127.0566038
230,영등포구,거주(유형별＊중증＊영유아)시설,송천한마음의집,경기 남양주시 수동면 비룡로1742번길 95 (내발리 377-3),031-559-4322,http://songhouse.or.kr,37.7686333,127.2906264
231,종로구,거주(유형별＊중증＊영유아)시설,은혜장애인요양원,강원 철원군 갈말읍 텃골1길 19 (문혜리 275-1),033-452-6161,www.eunhye1004.or.kr,38.191373,127.3679119
232,영등포구,거주(유형별＊중증＊영유아)시설,한사랑마을,경기 광주시 초월읍 산수로554번길 59-14 (신월리 333),031-764-2115,www.hanlove.or.kr,37.4114519,127.3143459
233,노원구,주간보호시설,해찬나래(상계),노원구 덕릉로115나길 25 (상계동 101-135) 상계종합사회복지관 내,02-951-9930~2,www.sanggyebokji.or.kr,37.66796,127.0783213
234,강동구,거주(유형별＊중증＊영유아)시설,우성원,강동구 고덕로 295-45 (고덕2동 298),02-428-0870,www.woosung.or.kr,37.5577349,127.1585865
235,광진구,주간보호시설,희망하우스,서울특별시 광진구 능동로34길 102-5 2층,02-452-5599,,37.5534274,127.0845626
236,송파구,주간보호시설,행복한사랑,서울특별시 송파구 오금로 548 1층,02-400-5090,,37.492663,127.1497186
237,은평구,주간보호시설,기원,서울특별시 은평구 통일로87길 6-19 .,02-353-1367,,37.623894,126.9188451
238,은평구,거주(유형별＊중증＊영유아)시설,시립평화로운집,은평구 갈현로15길 27-1 (구산동 산 61-8),02-3156-6500,www.pyeonghwa.or.kr,37.6080374,126.9064273
239,용산구,공동생활가정,자립홈,용산구 후암로28라길 9 예원빌라 103호 자립홈,070-5029-4925,,37.5497412,126.9797718
240,강동구,의료재활시설,주몽재활의원,강동구 상암로 369 (상일동 179),070-8255-0356,http://jumongrh.com,37.5460996,127.163854
241,관악구,의료재활시설,SRC부설의원,관악구 보라매로 44 (봉천동 722-19),02-871-3651,http://www.samyook.org/,37.4931647,126.9273467
242,마포구,단기보호시설,맑음터 단기보호센터,서울시 마포구 백범로 73-11(신수동),02-703-7105,,37.5491972,126.940503
243,강서구,단기보호시설,강서희망의집,강서구 강서로34길 36 (화곡동 1061-25),02-2605-7980,http://happylog.naver.com/himang1004.do,37.5433339,126.8415018
244,강서구,복지관,늘푸른나무복지관,강서구 가양동 1470-2 (허준로5길 37),02-3661-3401,www.egreen.or.kr,37.5685878,126.8511418
245,광진구,주간보호시설,희망의 학교,광진구 천호대로 622 (능동 247-5)  서울시민교회 5층,02-458-5599,,37.5540874,127.0864492
246,동작구,주간보호시설,서울시립지적장애인복지관 주간보호시설,동작구 여의대방로 20길 33 보라매공원내,02-840-1590,http://www.seoulidd.or.kr,37.4948959,126.9194519
247,강서구,단기보호시설,로뎀하우스,강서구 월정로16길 38 (화곡동 1152) 보람아파트 501-101,02-2606-5467,http://www.79home.net,37.5276589,126.8420647
248,강서구,단기보호시설,늘푸른집,강서구 금낭화로 26가길 130  1층 (개화동 330번지),02-2038-2165,http://cafe.naver.com/egreencenter,37.5842172,126.8115617
249,광진구,복지관,정립회관,광진구 워커힐로 93 (구의동 16-3),02-446-1237,http://www.jeongnip.or.kr/,37.5510878,127.0976313
250,구로구,주간보호시설,예은,서울특별시 구로구 부일로15길 25-5 4층,02-2616-4282,,37.493931,126.8331598
251,은평구,주간보호시설,바오로 주간보호,서울특별시 은평구 증산로5길 7 .,02-305-5180,,37.5826256,126.9071351
252,관악구,주간보호시설,실로암,서울특별시 관악구 조원로 127-2 301호,02-875-2235,,37.4855431,126.9164715
253,관악구,주간보호시설,꿈터2,서울특별시 관악구 쑥고개로13길 22 .,02-877-1968,,37.480544,126.9440956
254,종로구,주간보호시설,비둘기 주간보호,서울특별시 종로구 동숭4길 28 2층,02-766-9026,,37.5836606,127.0050508
255,중구,주간보호시설,여성시각장애인 주간보호,서울특별시 중구 퇴계로30길 15-3 4층,070-4012-1831,,37.5603966,126.9922777
256,중구,주간보호시설,남산골쉼터 주간보호,서울특별시 중구 퇴계로20길 41-11 남산쉼터 2층,02-3789-3268,,37.5587824,126.9867645
257,도봉구,주간보호시설,주바라기해피홈 주간보호,서울특별시 도봉구 도봉로169가길 45 ,02-3492-9135,,37.681942,127.0432301
258,은평구,주간보호시설,꿈친,서울특별시 은평구 통일로 934 1층,02-6181-7536,,37.6262994,126.9204209
259,금천구,주간보호시설,별바라기 주간보호,서울특별시 금천구 금하로18길 8-1 .,02-866-1314,,37.4522741,126.9050378
260,구로구,주간보호시설,하늘아래,서울특별시 구로구 경인로23길 8 301-1호,070-4240-1046,,37.4968112,126.844057
261,강남구,주간보호시설,밀알 주간보호,서울특별시 강남구 밤고개로1길 38 B동 101호,02-3414-0314,,37.4888999,127.1039991
262,강남구,주간보호시설,서울영동 주간보호,서울특별시 강남구 논현로132길 20 서울영동교회 교육관 2층,02-6925-3830,,37.5150375,127.0322439
263,서초구,단기보호시설,다니엘,서초구 헌릉로468길 21-16 (내곡동 1-1328),02-2226-2423,http://town.cyworld.com/care445,37.46071,127.0920009
264,은평구,복지관,서부장애인복지관,서울특별시 은평구 갈현로11길 30 서부장애인복지관,02-351-3982,,37.6051727,126.9075445
265,종로구,복지관,종로장애인복지관,서울특별시 종로구 자하문로 89 종로장애인복지관,02-6395-7071,,37.5840865,126.9699809
266,동대문구,복지관,동대문장애인 복지관,서울특별시 동대문구 청계천로 521 동대문 장애인복지관,02-927-0063,,37.5718253,127.0340454
267,서대문구,복지관,서대문장애인복지관,서울특별시 서대문구 북아현로 24 서대문장애인복지관,02-3140-3011,,37.5594749,126.9570462
268,광진구,단기보호시설,군자작은예수의집,광진구 군자동 254번지 .,02-462-6569,,37.5517899,127.0756752
269,서초구,주간보호시설,다니엘주간보호센터,서초구 헌릉로468길 21-16 (내곡동 1-1328번지),02-445-9630,http://daniel.ne.kr,37.46071,127.0920009
270,강서구,주간보호시설,늘푸른마을,강서구 까치산로22길 38 (화곡6동 960-22),02-2697-3880,http://www.kyonam.org,37.5480187,126.8523092
271,도봉구,거주(유형별＊중증＊영유아)시설,인강원,도봉구 평화로15번길 9-25 (도봉동 381-1),02-955-0527,http://www.inkang.kr,37.6947974,127.042399
272,중구,주간보호시설,시각장애인 주간보호,중구 퇴계로16길 35-21 (남산동1가 16-27),02-774-0085,,37.558898,126.9841298
273,강남구,주간보호시설,한우리,강남구 광평로60길 22 (수서동 721),02-2184-8707,,37.486981,127.1069631
274,양천구,공동생활가정,해누리하우스공동생활가정,양천구 곰달래로3길 24-12 201호 해누리하우스공동생활가정,070-4804-6042,,37.5321188,126.8329355
275,용산구,주간보호시설,농아노인지원센터,용산구 원효로 261 (원효로1가 39-1) 3층,02-2632-3372,,37.5408202,126.9694335
276,강서구,거주(유형별＊중증＊영유아)시설,교남시냇가,경기 파주시 적성면 어못내길 94-42 (어유지리 243),031-959-0711,,37.9983709,126.9883737
277,은평구,공동생활가정,한마음1호공동생활가정,은평구 통일로89길 5-7 3층 한마음1호공동생활가정,02-354-6102,,37.6242919,126.9193212
278,송파구,공동생활가정,한마음2호공동생활가정,송파구 위례성대로8길 46 301호 한마음2호공동생활가정,02-419-2172,,37.5110862,127.1174954
279,강동구,공동생활가정,한울그룹홈,강동구 양재대로124길 67-14 301호 한울그룹홈,02-483-3832,,37.542937,127.1462808
280,강서구,공동생활가정,해바라기집,강서구 강서로37길 58 (화곡동) 201호 해바라기집,02-2603-5399,,37.5436259,126.8343214
281,관악구,거주(유형별＊중증＊영유아)시설,SRC보듬터,경기 광주시 초월읍 경수길 25 (지월리 729-6),031-799-3979,www.ilovesamyook.org,37.4200418,127.2871428
282,은평구,거주(유형별＊중증＊영유아)시설,은평기쁨의집,은평구 갈현로11길 30 (구산동  191-1) 은평기쁨의집,02-388-0050,http://www.joyfulhouse.org,37.6051727,126.9075445
283,강남구,수화통역센터,강남구 수화통역센터,"강남구 개포로82길 13-17, 대화빌딩 402호 (개포동 186-7)",02-451-6798,http://cafe.daum.net/kndeaf,37.4889093,127.0685971
284,성동구,주간보호시설,성모주간보호센터,성동구 독서당로44길 25 (금호동4가 28-1),02-2290-1120,,37.5454913,127.0204183
285,도봉구,주간보호시설,지앤지,도봉구 삼양로 574-44 (쌍문동 505-11)  2층,02-998-2855,http://www.cyworld.com/u2dong,37.6543648,127.0139811
286,강남구,복지관,강남장애인복지관,강남구 개포로 605 (개포동12-10),02-445-8006,www.activeart.or.kr,37.4919994,127.0734789
287,강동구,공동생활가정,해솔그룹홈,강동구 양재대로110길 15-5 301호 해솔그룹홈,02-474-3832,,37.5357718,127.1403251
288,동작구,거주(유형별＊중증＊영유아)시설,삼성농아원,동작구 양녕로30길 19-4 (상도4동 211-121),02-823-2234,www.samsungi.org,37.4992438,126.946014
289,서초구,거주(유형별＊중증＊영유아)시설,다니엘복지원,서초구 헌릉로468길 21-16 (내곡동 1-1328),02-445-4892,www.love.daniel.ne.kr,37.46071,127.0920009
290,서초구,거주(유형별＊중증＊영유아)시설,새빛맹인재활원,서초구 방배중앙로 99 (방배4동 858-39),02-533-9820,www.saebit.or.kr,37.4881687,126.9882944
291,용산구,공동생활가정,행복이가득한집,용산구 후암로28라길 9 예원빌라 201호 행복이가득한집,02-2236-9081,,37.5497412,126.9797718
292,강북구,공동생활가정,헬렌켈러의집,강북구 삼양로91가길 8 JS홈타운 2동 501호 헬렌켈러의집,02-905-1530,,37.636535,127.0158473
293,강서구,공동생활가정,화곡성모공동생활가정,강서구 까치산로24길 15-11 3층 301호 화곡성모공동생활가정,02-2605-6521,,37.549574,126.8523014
294,강북구,공동생활가정,희망을긷는샘,강북구 삼양로163길 31-5 101호 희망을긷는샘,02-950-0152,,37.6586481,127.0117035
295,강동구,주간보호시설,아이비주간보호,강동구 천중로 87 (천호동 300-7) 4층,02-474-3825,http://www.ibe.or.kr/,37.5447879,127.1317169
296,동작구,복지관,서울시립지적장애인복지관,서울특별시 동작구 여의대방로20길 33 보라매공원 내 서울시립지적장애인복지관,02-840-1500,www.seoulidd.or.kr,37.4948959,126.9194519
297,도봉구,수화통역센터,도봉구수화통역센터,"서울특별시 도봉구 마들로13길 153 창동,옥산빌딩",02-900-2331,http://town.cyworld.com/dbdeaf,37.6570577,127.0462441
298,노원구,주간보호시설,노원시각장애인,노원구 덕릉로20가길 98 (상계동 771) 노원시각장애인복지관 내,02-931-0889,,NaN,NaN
299,서초구,수화통역센터,서초수화통역센터,서초구 서운로23길 17 (서초4동 1313-17) 명달공원 노인정내,02-575-5120,http://www.scdeaf.net,37.4990443,127.0211616
300,도봉구,주간보호시설,주간보호시설 인강원,도봉구 평화로15번길 9-25 (도봉동 381-1),02-955-0527,,37.6947974,127.042399
301,강남구,복지관,성모자애복지관,강남구 헌릉로 757길 35 (율현동 100),02-3411-9581,www.smwelfare.or.kr,37.4705425,127.1194354
302,서대문구,공동생활가정,작은숨골공동생활가정,서대문구 연희로41가길 103-7 작은숨골공동생활가정,02-379-6278,,37.5937142,126.9336987
303,강서구,주간보호시설,우리집주간보호시설,강서구 양천로47길 70-6 (마곡동 7-8호) 4층,02-2658-7556,http://woorilove.org,37.573335,126.8375259
304,중구,공동생활가정,제4샬롬장애인공동생활가정,중구 동호로15가길 37 2층 제4샬롬장애인공동생활가정,02-2253-1664,,37.5546953,127.0071172
305,양천구,공동생활가정,주은장애인공동생활가정,"양천구 목동동로 228-10(목동,3층) 주은장애인공동생활가정",02-2691-5746,,37.5256697,126.8728031
306,노원구,공동생활가정,중계1호,노원구 노원로19길 31 시영4단지목화A  410동 108호 중계1호,02-974-0185,,37.6434857,127.0695572
307,노원구,공동생활가정,중계2호,노원구 노원로19길 31 412동 105호 (시영4단지목화A) 중계2호,02-973-0185,,37.6434857,127.0695572
308,금천구,수화통역센터,금천구수화통역센터,서울특별시 금천구 시흥대로147길 30-15 2층,02-891-8301,http://cafe.daum.net/gcdeaf02,37.4747907,126.8961838
309,양천구,수화통역센터,양천구수화통역센터,서울특별시 양천구 신정중앙로 86 대영빌딩 4층,02-2691-9060,http://cafe.daum.net/yc-deaf,37.5264291,126.8610959
310,도봉구,공동생활가정,자운그룹홈,도봉구 도봉로185길 14 201호 자운그룹홈,02-990-7560,,37.685548,127.0443605
311,금천구,공동생활가정,지장의 집,"금천구 독산로14길 13, 301호 지장의 집",02-803-9050,,37.4523725,126.9076225
312,구로구,공동생활가정,참좋은집(구 제3샬롬),구로구 중앙로5길 62 서울가든아파트 104-902 참좋은집(구 제3샬롬),02-2625-1118,,37.5027127,126.8608113
313,서대문구,공동생활가정,최종병기,서대문구 연희로41가길 103-13 최종병기,02-365-5540,,37.593828,126.9336964
314,강남구,공동생활가정,충현의집1호,강남구 삼성로67길 8-7 새움빌라 401호 충현의집1호,02-565-7512,,37.5013588,127.0583308
315,강남구,공동생활가정,충현의집2호,강남구 선릉로146길 27-4 굿모닝하우스 302호 충현의집2호,02-565-7508,,37.5220489,127.042467
316,서초구,공동생활가정,충현의집3호,"서초구 동산로12길 20, 동은빌라 301호 충현의집3호",02-565-7566,,37.4708295,127.0456637
317,강남구,공동생활가정,충현의집4호,강남구 삼성로147길 16-10  401호 충현의집4호,02-565-7507,,37.5219683,127.0465417
318,강남구,공동생활가정,충현의집5호,강남구 학동로42길 55-10 계림빌라 401호 충현의집5호,02-565-7510,,37.512011,127.0375641
319,강남구,공동생활가정,충현의집6호,강남구 삼성로57길 33-1 리치빌 202호 충현의집6호,070-8128-9310,,37.4972114,127.05847
320,강서구,공동생활가정,푸른터1호,강서구 초록마을로26길 35-8 201호 푸른터1호,02-3661-3431,,37.5390527,126.8494162
321,강서구,공동생활가정,푸른터2호,강서구 화곡로13길 20-9 201호 푸른터2호,02-2695-0815,,37.541068,126.8336758
322,강서구,공동생활가정,푸른터3호,강서구 초록마을로8길 59-6 101호 푸른터3호,02-2695-0816,,37.5399549,126.8487051
323,서초구,주간보호시설,서리풀,서초구 남부순환로340길 15 (서초동 380) (한우리정보문화센터내),02-2055-0909,http://www.shc.or.kr,37.4820619,127.0250115
324,송파구,단기보호시설,행복을나누는사람들,송파구 성내천로 271 (마천동 207-7),02-448-9800,http://www.peoplehappy.or.kr,37.4963274,127.1544677
325,구로구,주간보호시설,민들레쉼터장애인주간보호시설,서울특별시 구로구 가마산로 231 5동 101호,02-861-1472,http://cafe.naver.com/mindullae52,37.4958769,126.8857722
326,구로구,복지관,에덴장애인종합복지관,구로구 고척로21가길 84-35 (개봉1동 50-8),02-2611-1711,www.edenwelfare.or.kr,37.5011929,126.8412441
327,강동구,공동생활가정,하늘자리공동생활가정,강동구 동남로 85길 15 2층 202호 하늘자리공동생활가정,02-441-3472,,37.5612461,127.1558947
328,양천구,공동생활가정,하은장애인공동생활가정,양천구 신목로5길 11-14 그린빌 D동 201호 하은장애인공동생활가정,02-2691-5749,,37.5172269,126.8738321
329,노원구,복지관,다운복지관,노원구 화랑로 478 (공릉동 656-3),02-3296-2114,www.down.or.kr,37.6189464,127.0803288
330,구로구,공동생활가정,하이드림,구로구 고척동 21다길 34-7 리움하우스 501호 하이드림,02-2695-9998,,NaN,NaN
331,강북구,수화통역센터,강북구 수화통역센터,강북구 한천로131길 7 (번1동 417-24) 경일빌딩 3층 301호,02-990-0872,gbdeaf.or.kr,37.6387,127.0279155
332,은평구,수화통역센터,은평구수화통역센터,은평구 증산서길 82 (증산동 186-11) 1층,02-358-7051,http://cafe.naver.com/epdeaf,37.583607,126.9068507
333,금천구,복지관,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17 (독산동 1011-1),02-6912-8000,www.gcacts.org,37.4639847,126.8963228
334,중구,공동생활가정,하늘마음,중구 동호로 11나길 35 202호 하늘마음,02-2235-8708,,37.5521663,127.0063979
335,강동구,공동생활가정,한다솜그룹홈,강동구 아리수로74길 31 201호 한다솜그룹홈,02-426-3887,,37.5613736,127.16096
336,영등포구,복지관,서울시립영등포장애인복지관,영등포구 버드나루로 22 (영등포동2가 94-379),02-3667-0870~5,www.ydp-welfare.or.kr,37.5208661,126.912915
337,동대문구,단기보호시설,하늘꿈터 장애인 단기보호시설,동대문구 천장산로13길 41-1 (이문2동 408-4),02-969-3927,www.hamgge.or.kr,37.6006044,127.0557604
338,관악구,의료재활시설,SRC재활병원,경기 광주시 초월읍 경수길 25 (지월리 729-6),031-760-3613,http://hospital.samyook.org/,37.4200418,127.2871428
339,종로구,거주(유형별＊중증＊영유아)시설,문혜장애인요양원,강원 철원군 갈말읍 텃골1길 13 (문혜리 236-1),033-452-7881,www.munhye92.or.kr,38.1913924,127.3680549
340,노원구,거주(유형별＊중증＊영유아)시설,대린원,노원구 동일로248길 30 (상계1동 1266),02-939-2298,http://daerin.hongpa.co.kr,37.6804458,127.0566356
341,성동구,복지관,성동장애인종합복지관,성동구 청계천로 506 (마장동 527-2),02-2290-3100,http://www.omni.or.kr/new/,37.5702032,127.0334414
342,송파구,거주(유형별＊중증＊영유아)시설,임마누엘집,송파구 양산로10길 26 (거여2동 251-40),02-449-6956,http://www.im21.org,37.4914752,127.1466758
343,강서구,주간보호시설,성산푸른초장주간보호시설,"서울시 강서구 양천로 30길 14  3층 (마곡동,벧엘빌딩)",02-2665-7273,http://home.dagle.co.kr/?id=sungsan,37.5725481,126.8226167
344,서초구,주간보호시설,서초여성회관주간보호센터,서초구 방배로 40 (방배3동 1023-3),02-522-0291,http://www.women.co.kr,37.4784409,126.9999918
345,강남구,주간보호시설,해마을 주간보호,강남구 개포로 617-8 (개포동 14-2),02-3412-2222,,37.4940531,127.0777925
346,강남구,주간보호시설,성모자애제2주간보호,강남구 헌릉로757길 35 (율현동 110번지),02-3411-9581,http://www.smwelfare.or.kr,37.4705425,127.1194354
347,성북구,복지관,성북시각장애인복지관,성북구 동소문로25가길 20 (동선동4가 279-1),02-923-4555,www.blindnet.or.kr,37.5954013,127.0192464
348,용산구,주간보호시설,한벗,용산구 효창원로69길 42-3 (효창동 5-134),02-713-5050,http://www.hanbeot.org,37.542842,126.9601817
349,도봉구,복지관,도봉장애인종합복지관,서울특별시 도봉구 마들로 664 -23,02-6952-1777,,37.6693393,127.0477251
350,송파구,주간보호시설,행복,서울특별시 송파구 마천로 89 .,02-430-8003,,37.5069073,127.1304692
351,강북구,주간보호시설,헬렌켈러의집,서울특별시 강북구 삼양로80길 7 3층,02-6402-1791,,37.6309477,127.0183098
352,노원구,거주(유형별＊중증＊영유아)시설,동천의집,노원구 노원로18길 41 (하계동 288-1),02-974-9577,www.dong-chun.org,37.6445781,127.0728729
353,성북구,단기보호시설,행복플러스 단기보호시설,서울특별시 성북구 화랑로 134 (월곡동),02-6959-8100,,37.6049746,127.0463687
354,도봉구,단기보호시설,도봉단지보호시설,서울특별시 도봉구 마들로 709 덕원빌딩5층(도봉동),02-3491-3091,,37.6735113,127.0465248
355,용산구,수화통역센터,용산구 수화통역센터,서울특별시 용산구 이태원로27가길 42 3층,02-706-8367,http://blog.naver.com/ysdeaf,37.5350455,126.9928477
356,강남구,주간보호시설,예수와주간&#48399;,서울특별시 강남구 압구정로22길 21 웨슬리관 1층,02-549-7766,,37.5242737,127.0265933
357,기타,복지관,홀트강동복지관,서울특별시 강동구 아리수로93길 41 홀트강동복지관,02-2251-6100,www.holtgangdong.or.kr,37.5662223,127.1732599
358,강동구,거주(유형별＊중증＊영유아)시설,암사재활원,강동구 올림픽로 864 (암사동  196-1) 암사재활원,02-441-0407,http://www.swsamsa.or.kr/,37.5583806,127.1314318
359,관악구,복지관,실로암시각장애인복지관,관악구 남부산환로 1717 (봉천동 931-7),02-880-0500,http://www.silwel.or.kr/,NaN,NaN
360,종로구,주간보호시설,라파엘의 집,종로구 자하문로7길 68-4 (누하동  1-10) 라파엘의 집 주간보호센터,02-739-7024,http://www.raphayel.org,37.5803259,126.9692505
361,강남구,복지관,하상장애인복지관,강남구 개포로 613 (개포동 12-5),02-451-6000,http://www.hasang.org/,37.4925325,127.0751283
362,강서구,복지관,기쁜우리복지관,강서구 허준로 65 (가양동 1466번지),02-3665-3831,http://www.gibbun.or.kr,37.5693631,126.8487793
363,강북구,거주(유형별＊중증＊영유아)시설,디딤자리,강북구 덕릉로12길 13 (수유동  472-101) 디딤자리,02-987-6009,http://www.didimjary.com,37.6333964,127.0162993
364,노원구,거주(유형별＊중증＊영유아)시설,쉼터요양원,노원구 동일로248길 30 (상계동  1266-0) 쉼터요양원,02-937-5057,http://www.hongpa.org,37.6804458,127.0566356
365,강남구,거주(유형별＊중증＊영유아)시설,라파엘의집,경기 여주군 북내면 당전로 552 (중암리 산48-8),031-883-6637,www.raphael1004.co.kr,37.3546886,127.7164838
366,서초구,주간보호시설,다니엘방배 주간보호센터,서초구 서초대로12길 8 (방배동 945-9번지),02-525-2536,http://town.cyworld.com/bangbae2008,37.485662,126.9884189
367,강북구,단기보호시설,헬렌켈러의 집,강북구 삼양로77가길 48-2 (수유동 484-28),02-980-1791,http://helen.hompee.com/,37.6285768,127.0153197
368,서대문구,수화통역센터,서울시수화통역센터 지원본부,서대문구 경기대로 15 (충정로3가 32-11) 엘림넷빌딩 3층,02-323-4996,http://www.sdeaf.or.kr,37.5608423,126.9616536
369,강서구,수화통역센터,강서구수화통역센터,강서구 공항대로41길 51 (등촌3동 696) 세신그린코아빌딩 815호,02-3665-4474,http://cafe.naver.com/ksdeaf,37.5602476,126.8457795
